City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
82,Hobart,-42.88,147.33,46.0,93,3,6.93,AU,clear sky
83,Geraldton,-28.77,114.6,62.6,82,75,6.93,AU,broken clouds
84,Ixtapa,20.7,-105.2,86.0,55,5,6.93,MX,clear sky
85,Parabel,58.7,81.48,39.63,80,100,16.02,RU,overcast clouds
86,Kamaishi,39.27,141.88,42.46,64,0,16.24,JP,clear sky
87,East London,-33.02,27.91,66.2,88,75,5.82,ZA,light rain
88,Halifax,44.65,-63.57,46.0,70,93,4.7,CA,overcast clouds
89,Vondrozo,-22.82,47.28,65.07,100,93,6.31,MG,overcast clouds
90,Talnakh,69.49,88.4,23.0,92,75,22.37,RU,light shower snow
91,Turukhansk,65.82,87.98,32.72,98,100,11.32,RU,overcast clouds
92,Juneau,58.3,-134.42,34.0,89,90,17.22,US,overcast clouds
93,Shache,38.42,77.24,35.6,60,100,1.45,CN,overcast clouds
94,Kruisfontein,-34.0,24.73,59.0,92,100,1.01,ZA,overcast clouds
95,Hingorja,27.21,68.42,69.8,73,0,2.26,PK,haze
96,Tezu,27.92,96.17,66.47,44,0,3.89,IN,clear sky
97,Bilibino,68.05,166.44,-3.24,89,100,1.41,RU,overcast clouds
98,Santa Maria,-29.68,-53.81,84.2,48,0,13.87,BR,clear sky
99,Humaita,-7.51,-63.02,94.41,43,58,2.77,BR,moderate rain
100,Kahului,20.89,-156.47,82.4,58,40,16.11,US,scattered clouds
101,Sao Filipe,14.9,-24.5,80.78,72,0,9.17,CV,clear sky
102,Saint-Augustin,51.23,-58.65,30.54,73,0,10.4,CA,clear sky
103,Qasigiannguit,68.82,-51.19,10.4,55,100,13.87,GL,overcast clouds
104,Port Hardy,50.7,-127.42,42.8,52,20,2.24,CA,few clouds
105,New Norfolk,-42.78,147.06,46.0,78,10,2.46,AU,clear sky
106,Kodiak,57.79,-152.41,48.2,57,20,19.46,US,few clouds
107,Faanui,-16.48,-151.75,78.62,76,0,13.33,PF,clear sky
108,Upernavik,72.79,-56.15,-2.56,74,0,7.43,GL,clear sky
109,Guerrero Negro,27.98,-114.06,69.04,48,17,14.54,MX,few clouds
110,Kuandian,40.73,124.78,26.87,76,0,2.28,CN,clear sky
111,Anadyr,64.75,177.48,1.4,84,20,2.24,RU,few clouds
112,Alofi,-19.06,-169.92,73.4,94,38,6.93,NU,scattered clouds
113,Ponta Do Sol,32.67,-17.1,66.2,63,20,5.82,PT,few clouds
114,Katsuura,35.13,140.3,59.0,47,40,27.51,JP,scattered clouds
115,Necochea,-38.55,-58.74,70.34,57,46,14.03,AR,moderate rain
116,Polovinnoye,54.79,65.99,32.45,94,79,22.7,RU,broken clouds
117,Cidreira,-30.18,-50.21,69.82,78,79,14.72,BR,broken clouds
118,Atar,20.52,-13.05,92.23,12,93,12.24,MR,overcast clouds
119,Srednekolymsk,67.45,153.68,-5.03,92,89,5.73,RU,overcast clouds
120,Vanimo,-2.67,141.3,77.18,83,100,3.83,PG,overcast clouds
121,Saint-Philippe,-21.36,55.77,73.4,78,0,8.05,RE,clear sky
122,Gua Musang,4.88,101.96,72.95,93,99,0.81,MY,overcast clouds
123,Ust-Nera,64.57,143.2,-14.06,80,25,3.53,RU,scattered clouds
124,Bakchar,57.02,82.07,41.85,73,100,13.09,RU,overcast clouds
125,Coihaique,-45.58,-72.07,73.4,33,0,8.05,CL,clear sky
126,Roma,43.21,-75.46,69.01,42,1,5.82,US,clear sky
127,Los Llanos De Aridane,28.66,-17.92,69.8,68,40,8.05,ES,scattered clouds
128,Huarmey,-10.07,-78.15,69.21,64,1,12.28,PE,clear sky
129,Senneterre,48.38,-77.23,62.6,59,20,12.75,CA,few clouds
130,San-Pedro,4.75,-6.64,78.69,88,34,6.82,CI,light rain
131,Tasiilaq,65.61,-37.64,30.2,100,100,41.38,GL,heavy snow
132,Nemuro,43.32,145.57,40.12,94,42,19.39,JP,light rain
133,Pueblo Nuevo,23.38,-105.38,72.72,38,0,6.31,MX,clear sky
134,Tiksi,71.69,128.87,-7.47,91,38,2.82,RU,scattered clouds
135,Narsaq,60.92,-46.05,32.0,95,90,1.12,GL,light snow
136,Krasnogvardeyskoye,45.85,41.52,42.26,89,0,11.18,RU,clear sky
137,Kalmunai,7.42,81.82,81.07,80,85,9.06,LK,heavy intensity rain
138,Meulaboh,4.14,96.13,76.59,86,100,2.46,ID,overcast clouds
139,Jalor,25.35,72.62,71.35,26,0,2.35,IN,clear sky
140,Lompoc,34.64,-120.46,57.2,66,40,16.11,US,scattered clouds
141,Santa Fe,-31.63,-60.7,84.45,34,100,6.96,AR,moderate rain
142,Saskylakh,71.92,114.08,-10.44,87,0,11.59,RU,clear sky
143,Popondetta,-8.75,148.25,75.4,83,71,2.84,PG,broken clouds
144,Linxi,39.7,118.43,35.01,69,0,2.84,CN,clear sky
145,Verkhnyaya Inta,65.98,60.31,26.89,99,100,6.62,RU,light snow
146,Isangel,-19.55,169.27,75.7,83,75,15.55,VU,broken clouds
147,Iqaluit,63.75,-68.51,19.4,73,75,6.93,CA,broken clouds
148,Shimoda,34.67,138.95,51.01,86,1,11.79,JP,clear sky
149,Tobolsk,58.2,68.27,29.52,98,100,10.6,RU,overcast clouds
150,Gorontalo,0.54,123.06,72.66,79,41,2.53,ID,scattered clouds
151,Poso,-1.4,120.75,79.0,72,100,5.01,ID,overcast clouds
152,Fortuna,40.6,-124.16,50.0,75,75,12.75,US,broken clouds
153,Bengkulu,-3.8,102.27,75.74,93,100,7.2,ID,light rain
154,Ancud,-41.87,-73.82,66.2,52,0,14.99,CL,clear sky
155,Adrar,20.5,-10.07,87.01,13,0,6.82,MR,clear sky
156,Kandrian,-6.22,149.55,77.07,86,8,3.65,PG,light rain
157,Bosaso,11.28,49.18,78.94,78,1,5.77,SO,clear sky
158,Cherskiy,68.75,161.3,3.2,94,95,0.49,RU,overcast clouds
159,Portland,45.52,-122.68,45.0,60,20,3.06,US,few clouds
160,San Patricio,28.02,-97.52,82.99,65,40,11.41,US,scattered clouds
161,Charters Towers,-20.1,146.27,69.51,73,97,16.42,AU,overcast clouds
162,Inta,66.03,60.17,27.3,99,100,6.49,RU,light snow
163,Anito,12.45,125.29,77.13,87,93,3.44,PH,light rain
